date,event_label,control_label,future_max_abs_change,horizon,q_event
2025-05-13,0,0,0.9799995422363246,5,0.95
2025-05-14,0,1,2.25,5,0.95
2025-05-15,0,0,3.0400009155273438,5,0.95
2025-05-16,0,0,5.05000114440918,5,0.95
2025-05-19,0,0,4.150001525878903,5,0.95
2025-05-20,0,0,4.200000762939453,5,0.95
2025-05-21,0,1,1.9100017547607422,5,0.95
2025-05-22,0,1,2.010000228881836,5,0.95
2025-05-23,0,0,3.720001220703125,5,0.95
2025-05-26,0,0,3.930000305175785,5,0.95
2025-05-27,0,0,1.269998550415039,5,0.95
2025-05-28,0,0,1.6999988555908203,5,0.95
2025-05-29,0,0,1.5699996948242188,5,0.95
2025-05-30,0,0,1.7999992370605469,5,0.95
2025-06-02,0,0,1.590000152587887,5,0.95
2025-06-03,0,0,0.9200000762939453,5,0.95
2025-06-04,0,0,0.8699989318847656,5,0.95
2025-06-05,0,0,1.7099990844726562,5,0.95
2025-06-06,0,0,4.049999237060547,5,0.95
2025-06-09,0,0,3.6599998474121094,5,0.95
2025-06-10,0,0,4.649999618530273,5,0.95
2025-06-11,0,0,4.340000152587891,5,0.95
2025-06-12,0,0,3.5799999237060547,5,0.95
2025-06-13,0,0,1.7099990844726598,5,0.95
2025-06-16,0,1,2.4899997711181676,5,0.95
2025-06-17,0,0,4.120000839233398,5,0.95
2025-06-18,0,0,3.379999160766605,5,0.95
2025-06-19,0,0,3.5499992370605504,5,0.95
2025-06-20,0,0,4.30000114440918,5,0.95
2025-06-23,0,0,3.5100002288818324,5,0.95
2025-06-24,0,0,1.1599998474121094,5,0.95
2025-06-25,0,0,0.4400005340576172,5,0.95
2025-06-26,0,0,0.2700004577636719,5,0.95
2025-06-27,0,0,0.5100002288818359,5,0.95
2025-06-30,0,0,1.0600013732910156,5,0.95
2025-07-01,0,0,0.9600009918212891,5,0.95
2025-07-02,0,0,1.1500015258789062,5,0.95
2025-07-03,0,0,1.4100017547607422,5,0.95
2025-07-04,0,0,1.4100017547607422,5,0.95
2025-07-07,0,1,2.0100011825561523,5,0.95
2025-07-08,0,0,1.0299997329711914,5,0.95
2025-07-09,0,0,1.4399995803833008,5,0.95
2025-07-10,0,0,1.5999994277954102,5,0.95
2025-07-11,0,0,0.9799995422363281,5,0.95
2025-07-14,0,0,0.7900009155273438,5,0.95
2025-07-15,0,0,0.9699993133544922,5,0.95
2025-07-16,0,0,1.7899999618530273,5,0.95
2025-07-17,0,0,1.1500005722045898,5,0.95
2025-07-18,0,0,1.47999954223633,5,0.95
2025-07-21,0,0,1.719999313354494,5,0.95
2025-07-22,0,0,1.5699996948242205,5,0.95
2025-07-23,0,0,0.6099996566772461,5,0.95
2025-07-24,0,0,1.3299989700317383,5,0.95
2025-07-25,0,0,5.449998855590822,5,0.95
2025-07-28,0,0,5.34999942779541,5,0.95
2025-07-29,0,0,4.399999618530273,5,0.95
2025-07-30,0,0,4.899999618530273,5,0.95
2025-07-31,0,0,3.6599998474121094,5,0.95
2025-08-01,0,0,5.22999954223633,5,0.95
2025-08-04,0,1,2.3700008392334,5,0.95
2025-08-05,0,0,3.1200008392333984,5,0.95
2025-08-06,0,1,2.280000686645508,5,0.95
2025-08-07,0,1,2.0799999237060547,5,0.95
2025-08-08,0,0,1.1000003814697283,5,0.95
2025-08-11,0,0,1.760000228881836,5,0.95
2025-08-12,0,0,0.8400001525878924,5,0.95
2025-08-13,0,0,1.1999998092651367,5,0.95
2025-08-14,0,0,1.77000045776367,5,0.95
2025-08-15,0,0,1.510000228881836,5,0.95
2025-08-18,0,0,1.6100006103515625,5,0.95
2025-08-19,0,0,1.349999427795412,5,0.95
2025-08-20,0,0,1.4699993133544922,5,0.95
2025-08-21,0,1,2.380000114440918,5,0.95
2025-08-22,0,0,1.1399993896484375,5,0.95
2025-08-25,0,0,0.5699996948242188,5,0.95
2025-08-26,0,1,2.5500001907348633,5,0.95
2025-08-27,0,1,2.319999694824217,5,0.95
2025-08-28,0,1,2.739999771118166,5,0.95
2025-08-29,0,0,1.8100004196166992,5,0.95
2025-09-01,0,0,1.8100004196166992,5,0.95
2025-09-02,0,1,2.130000114440918,5,0.95
2025-09-03,0,0,1.3100004196166992,5,0.95
2025-09-04,0,0,0.5900001525878906,5,0.95
2025-09-05,0,0,0.4700002670288068,5,0.95
2025-09-08,0,0,0.5799999237060547,5,0.95
2025-09-09,0,0,1.3200006484985352,5,0.95
2025-09-10,0,0,1.0100002288818342,5,0.95
2025-09-11,0,0,1.6500005722045898,5,0.95
2025-09-12,0,0,1.6000003814697266,5,0.95
2025-09-15,0,0,0.6700010299682617,5,0.95
2025-09-16,0,0,0.9100008010864258,5,0.95
2025-09-17,0,0,0.9199991226196289,5,0.95
2025-09-18,0,0,1.0399999618530273,5,0.95
2025-09-19,0,0,1.2899999618530273,5,0.95
2025-09-22,0,0,0.8100004196166992,5,0.95
2025-09-23,0,0,1.3499994277954102,5,0.95
2025-09-24,0,0,0.8900003433227539,5,0.95
2025-09-25,0,0,1.4499998092651367,5,0.95
2025-09-26,0,0,1.359999656677246,5,0.95
2025-09-29,0,0,0.529998779296875,5,0.95
2025-09-30,0,0,0.9599990844726562,5,0.95
2025-10-01,0,0,0.9499988555908203,5,0.95
2025-10-02,0,0,0.6100006103515625,5,0.95
2025-10-03,0,0,5.010000228881836,5,0.95
2025-10-06,0,0,5.289999008178711,5,0.95
2025-10-07,0,0,4.420000076293945,5,0.95
2025-10-08,0,0,5.3600006103515625,5,0.95
2025-10-09,0,0,8.879999160766602,5,0.95
2025-10-10,0,0,3.6499996185302734,5,0.95
2025-10-13,0,0,6.279998779296875,5,0.95
2025-10-14,0,0,4.5,5,0.95
2025-10-15,0,0,4.670000076293942,5,0.95
2025-10-16,0,0,8.010000228881836,5,0.95
2025-10-17,0,0,4.409999847412109,5,0.95
2025-10-20,0,1,2.439999580383301,5,0.95
2025-10-21,0,1,2.080000877380371,5,0.95
2025-10-22,0,1,2.810000419616699,5,0.95
2025-10-23,0,0,1.5099992752075195,5,0.95
2025-10-24,0,0,1.0699996948242188,5,0.95
2025-10-27,0,0,1.6500005722045898,5,0.95
2025-10-28,0,1,2.5799999237060547,5,0.95
2025-10-29,0,1,2.0799999237060547,5,0.95
2025-10-30,0,1,2.5900001525878906,5,0.95
2025-10-31,0,1,2.059999465942383,5,0.95
2025-11-03,0,1,2.3299999237060547,5,0.95
2025-11-04,0,0,1.7199993133544922,5,0.95
2025-11-05,0,0,1.489999771118164,5,0.95
2025-11-06,0,1,2.219999313354492,5,0.95
2025-11-07,0,0,1.7999992370605433,5,0.95
2025-11-10,0,0,4.779998779296875,5,0.95
2025-11-11,0,0,7.409999847412109,5,0.95
2025-11-12,0,0,7.180000305175781,5,0.95
2025-11-13,0,0,6.420000076293945,5,0.95
2025-11-14,0,0,6.590000152587894,5,0.95
2025-11-17,0,0,4.040000915527344,5,0.95
2025-11-18,0,0,6.130001068115234,5,0.95
2025-11-19,0,0,6.469999313354492,5,0.95
2025-11-20,1,0,9.229999542236328,5,0.95
2025-11-21,0,0,7.079999923706055,5,0.95
2025-11-24,0,0,4.170000076293945,5,0.95
2025-11-25,0,1,2.2099990844726562,5,0.95
2025-11-26,0,0,1.1100006103515625,5,0.95
2025-11-27,0,0,1.4100008010864258,5,0.95
2025-11-28,0,0,0.9400005340576172,5,0.95
2025-12-01,0,0,1.8299999237060547,5,0.95
2025-12-02,0,0,1.1800003051757812,5,0.95
2025-12-03,0,0,0.8500003814697266,5,0.95
2025-12-04,0,0,1.1500005722045898,5,0.95
2025-12-05,0,0,1.5200004577636719,5,0.95
2025-12-08,0,0,1.809999465942381,5,0.95
2025-12-09,0,1,2.079999923706053,5,0.95
2025-12-10,0,1,1.8500003814697266,5,0.95
2025-12-11,0,1,2.77000045776367,5,0.95
2025-12-12,0,1,1.8800010681152344,5,0.95
2025-12-15,0,1,2.4200000762939435,5,0.95
2025-12-16,0,1,2.479999542236328,5,0.95
2025-12-17,0,0,4.15000057220459,5,0.95
2025-12-18,0,0,3.40000057220459,5,0.95
2025-12-19,0,0,1.4399995803833008,5,0.95
2025-12-22,0,0,0.6099996566772479,5,0.95
2025-12-23,0,0,0.5299997329711914,5,0.95
2025-12-24,0,0,1.4799995422363281,5,0.95
2025-12-25,0,0,1.4799995422363281,5,0.95
2025-12-26,0,0,1.3499994277954084,5,0.95
2025-12-29,0,0,0.75,5,0.95
2025-12-30,0,0,1.0500001907348615,5,0.95
2025-12-31,0,0,0.5,5,0.95
2026-01-02,0,0,0.9399995803833008,5,0.95
2026-01-05,0,0,0.5500001907348651,5,0.95
2026-01-06,0,0,1.2299995422363281,5,0.95
2026-01-07,0,0,1.369999885559082,5,0.95
2026-01-08,0,0,1.3000001907348633,5,0.95
